,title,release_year,locations,Input Name,Best Guess,index,eas_baseid,address,address_number,street_name,street_type,zip_code,cnn,longitude,latitude,point,supdist,supdistpad,numbertext,nhood,data_as_of,data_loaded_at,address_number_suffix,complete_landmark_name
904,Phenomenon,1996,treasure island,treasure island,39 treasure island rd,4268.0,505515,39 treasure island rd,39,treasure island,rd,94130,14305000,-122.37092258,37.81721955,"{'type': 'Point', 'coordinates': [-122.370922579, 37.817219555]}",SUPERVISORIAL DISTRICT 6,06,SIX,Treasure Island,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
905,The Last Black Man in San Francisco,2019,801 innes ave,801 innes ave,800 innes ave,3552.0,371682,800 innes ave,800,innes,ave,94124,7254000,-122.37395418,37.73119387,"{'type': 'Point', 'coordinates': [-122.373954176, 37.731193874]}",SUPERVISORIAL DISTRICT 10,10,TEN,Bayview Hunters Point,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
906,Tales of the City,2019,castro and 18th st,castro and 18th st,18 castro st,3606.0,341988,18 castro st,18,castro,st,94114,3783000,-122.43604685,37.76861204,"{'type': 'Point', 'coordinates': [-122.436046848, 37.768612044]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
907,Invasion of the Body Snatchers,1978,"bimbo's 365 club (1025 columbus avenue, north beach)","bimbo's 365 club (1025 columbus avenue, north beach)",1025 columbus ave,2120.0,447297,1025 columbus ave,1025,columbus,ave,94133,4302000,-122.41566466,37.80370173,"{'type': 'Point', 'coordinates': [-122.415664659, 37.803701733]}",SUPERVISORIAL DISTRICT 3,03,THREE,Russian Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
908,Godzilla,2014,california & davis st,california & davis st,2863 d california st,2568.0,474254,2863 d california st,2863,california,st,94115,3562000,-122.44153603,37.78776359,"{'type': 'Point', 'coordinates': [-122.441536033, 37.787763593]}",SUPERVISORIAL DISTRICT 2,02,TWO,Pacific Heights,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,D,
909,The Dead Pool,1988,"the cannery (281 leavenworth street, fisherman's wharf)","the cannery (281 leavenworth street, fisherman's wharf)",921 e leavenworth st,4104.0,458681,921 e leavenworth st,921,leavenworth,st,94109,8247000,-122.41570126,37.78960774,"{'type': 'Point', 'coordinates': [-122.415701254, 37.789607746]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,E,
910,When a Man Loves a Woman,1994,766 vallejo street at stockton street (north beach),766 vallejo street at stockton street (north beach),466 a vallejo st,3835.0,466361,466 a vallejo st,466,vallejo,st,94133,13088000,-122.4052242,37.79939636,"{'type': 'Point', 'coordinates': [-122.405224203, 37.799396363]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
911,Time After Time,1979,lombard & laguna streets (marina district),lombard & laguna streets (marina district),300 a lombard st,2058.0,469103,300 a lombard st,300,lombard,st,94133,8435000,-122.40674021,37.80381072,"{'type': 'Point', 'coordinates': [-122.406740207, 37.80381072]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
912,Looking Season 2 ep 209,2015,"sf zoo, 2945 sloat blvd","sf zoo, 2945 sloat blvd",945 sloat blvd,702.0,418105,945 sloat blvd,945,sloat,blvd,94132,11953103,-122.48172934,37.73418715,"{'type': 'Point', 'coordinates': [-122.481729335, 37.734187146]}",SUPERVISORIAL DISTRICT 4,04,FOUR,Sunset/Parkside,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
913,Nash Bridges,2021,"pier 45, san francisco","pier 45, san francisco",445 francisco st,4788.0,463817,445 francisco st,445,francisco,st,94133,5761000,-122.41263943,37.80466388,"{'type': 'Point', 'coordinates': [-122.412639428, 37.804663884]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
914,Always Be My Maybe,2019,de young museum/golden gate park,de young museum/golden gate park,35 golden gate ave,4814.0,504218,35 golden gate ave,35,golden gate,ave,94102,6259000,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
915,It Came From Beneath the Sea,1955,hunters point,hunters point,10 hunters point blvd,1597.0,371708,10 hunters point blvd,10,hunters point,blvd,94124,7093000,-122.37647234,37.7329906,"{'type': 'Point', 'coordinates': [-122.376472337, 37.732990599]}",SUPERVISORIAL DISTRICT 10,10,TEN,Bayview Hunters Point,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
916,Sister Act 2: Back in the Habit,1993,"maritime museum, building 201 (fort mason)","maritime museum, building 201 (fort mason)",1820 a mason st,4211.0,503833,1820 a mason st,1820,mason,st,94133,8828000,-122.41226402,37.80041874,"{'type': 'Point', 'coordinates': [-122.412264017, 37.800418744]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,
917,"Smile Again, Jenny Lee",2015,510 noe street & 18th st.,510 noe street & 18th st.,3510 18th st,2605.0,275711,3510 18th st,3510,18th,st,94110,881000,-122.42190572,37.76181311,"{'type': 'Point', 'coordinates': [-122.421905721, 37.761813112]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
918,Shit and Champagne,2020,bush at grant ave,bush at grant ave,545 b grant ave,1242.0,458580,545 b grant ave,545,grant,ave,94108,6391000,-122.40616675,37.79201528,"{'type': 'Point', 'coordinates': [-122.406166751, 37.792015281]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,
919,Surface,2022,fort point,fort point,Empty,,,,,,,,,,,,,,,,,,,
920,Ant-Man and the Wasp,2018,jefferson st at taylor st,jefferson st at taylor st,1 jefferson st,4279.0,461105,1 jefferson st,1,jefferson,st,94133,7455000,-122.4132503,37.80805367,"{'type': 'Point', 'coordinates': [-122.413250304, 37.808053668]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
921,Looking Season 2 ep 203,2015,"willy's barber shop, 3227 22nd street","willy's barber shop, 3227 22nd street",3322 a 22nd st,2094.0,467613,3322 a 22nd st,3322,22nd,st,94110,1194000,-122.42161045,37.75541018,"{'type': 'Point', 'coordinates': [-122.421610448, 37.755410181]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
922,DEVS,2020,broadway btwn polk and kearny,broadway btwn polk and kearny,490 a broadway,2366.0,471665,490 a broadway,490,broadway,,94133,3150000,-122.40518929,37.7981844,"{'type': 'Point', 'coordinates': [-122.405189292, 37.798184401]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
923,Goliath- Season 4,2021,red's java house - pier 30,red's java house - pier 30,30 java st,14.0,504739,30 java st,30,java,st,94117,7453000,-122.44427032,37.76667981,"{'type': 'Point', 'coordinates': [-122.444270316, 37.766679808]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Haight Ashbury,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
924,All About Eve,1950,curran theater (445 geary street),curran theater (445 geary street),445 geary st,4792.0,281560,445 geary st,445,geary,st,94102,6111000,-122.41058136,37.78677287,"{'type': 'Point', 'coordinates': [-122.410581358, 37.786772869]}",SUPERVISORIAL DISTRICT 3,03,THREE,Tenderloin,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
925,"Looking ""Special""",2016,grant avenue between sacramento and washington,grant avenue between sacramento and washington,738 a washington st,1487.0,476781,738 a washington st,738,washington,st,94108,13411000,-122.4057807,37.79548406,"{'type': 'Point', 'coordinates': [-122.405780694, 37.79548406]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
926,Beaches,1988,Empty,Empty,Empty,,,,,,,,,,,,,,,,,,,
927,On the Road,2012,2017 23rd street,2017 23rd street,2017 23rd st,520.0,370362,2017 23rd st,2017,23rd,st,94107,1245000,-122.40004148,37.75450422,"{'type': 'Point', 'coordinates': [-122.400041479, 37.754504222]}",SUPERVISORIAL DISTRICT 10,10,TEN,Potrero Hill,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
928,Cardinal X,2015,lyon at chestnut st.,lyon at chestnut st.,377 a chestnut st,4429.0,450823,377 a chestnut st,377,chestnut,st,94133,3955000,-122.40939492,37.80400923,"{'type': 'Point', 'coordinates': [-122.409394915, 37.804009229]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
929,Freebie and the Bean,1974,broadway and columbus avenue (north beach),broadway and columbus avenue (north beach),4 columbus ave,3376.0,279801,4 columbus ave,4,columbus,ave,94111,4286000,-122.40364725,37.79601406,"{'type': 'Point', 'coordinates': [-122.403647251, 37.796014065]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
930,Twisted,2004,Empty,Empty,Empty,,,,,,,,,,,,,,,,,,,
931,Dim Sum: A Little Bit of Heart,1985,san francisco international airport,san francisco international airport,370 a francisco st,2865.0,276017,370 a francisco st,370,francisco,st,94133,5760000,-122.41133108,37.80523289,"{'type': 'Point', 'coordinates': [-122.411331083, 37.805232888]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,A,
932,Birth of the Dragon,2016,california at grant,california at grant,1 california st,4109.0,280800,1 california st,1,california,st,94111,3524000,-122.39704304,37.79321375,"{'type': 'Point', 'coordinates': [-122.397043036, 37.793213746]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
933,Twisted,2004,vesuvio café (255 columbus avenue),vesuvio café (255 columbus avenue),255 columbus ave,4991.0,497338,255 columbus ave,255,columbus,ave,94133,4290000,-122.40611093,37.79733298,"{'type': 'Point', 'coordinates': [-122.40611093, 37.797332984]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,,
934,Chan is Missing,1982,"li po (916 grant avenue at washington, chinatown)","li po (916 grant avenue at washington, chinatown)",1062 a washington st,4524.0,454868,1062 a washington st,1062,washington,st,94108,13423000,-122.41070291,37.79487256,"{'type': 'Point', 'coordinates': [-122.410702905, 37.794872563]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
935,Terminator - Genisys,2015,pier 14,pier 14,Empty,,,,,,,,,,,,,,,,,,,
936,Blue Jasmine,2013,trolley car from market and 11th,trolley car from market and 11th,1108 b market st,2259.0,470606,1108 b market st,1108,market,st,94102,8750203,-122.41246993,37.78090053,"{'type': 'Point', 'coordinates': [-122.412469932, 37.780900531]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,
937,Heart Beat,1980,city lights bookstore (261 columbus),city lights bookstore (261 columbus),261 columbus ave,2933.0,279113,261 columbus ave,261,columbus,ave,94133,4291000,-122.4065793,37.79760056,"{'type': 'Point', 'coordinates': [-122.406579302, 37.797600559]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
938,San Andreas,2015,"vallejo st. garage, 766 vallejo st.","vallejo st. garage, 766 vallejo st.",466 a vallejo st,3835.0,466361,466 a vallejo st,466,vallejo,st,94133,13088000,-122.4052242,37.79939636,"{'type': 'Point', 'coordinates': [-122.405224203, 37.799396363]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
939,The Bachelor,1999,moose's restaurant (1652 stockton),moose's restaurant (1652 stockton),1652 stockton st,3080.0,462272,1652 stockton st,1652,stockton,st,94133,12214000,-122.40900958,37.80113092,"{'type': 'Point', 'coordinates': [-122.409009575, 37.801130917]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
940,Star Trek IV: The Voyage Home,1986,"bessie charmichael elementary school (375 seventh street, soma)","bessie charmichael elementary school (375 seventh street, soma)",37 bessie st,4814.0,379176,37 bessie st,37,bessie,st,94110,2963000,-122.41445493,37.74691444,"{'type': 'Point', 'coordinates': [-122.414454931, 37.746914445]}",SUPERVISORIAL DISTRICT 9,09,NINE,Bernal Heights,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
941,The Phone/Jexi,2019,22nd st btwn carolina and kansas,22nd st btwn carolina and kansas,972 a carolina st,2394.0,491703,972 a carolina st,972,carolina,st,94107,3714201,-122.40011856,37.7562063,"{'type': 'Point', 'coordinates': [-122.400118562, 37.756206302]}",SUPERVISORIAL DISTRICT 10,10,TEN,Potrero Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
942,Sonic the Hedgehog,2020,2nd st btwn mission and howard,2nd st btwn mission and howard,1021 a mission st,1877.0,490883,1021 a mission st,1021,mission,st,94103,9100000,-122.40890763,37.78033662,"{'type': 'Point', 'coordinates': [-122.408907625, 37.780336617]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
943,Super Pumped: The Battle for Uber,2022,california street at sansome street,california street at sansome street,1 california st,4109.0,280800,1 california st,1,california,st,94111,3524000,-122.39704304,37.79321375,"{'type': 'Point', 'coordinates': [-122.397043036, 37.793213746]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
944,Ant-Man and the Wasp,2018,california st btwn mason and leavenworth,california st btwn mason and leavenworth,849 a leavenworth st,3349.0,458690,849 a leavenworth st,849,leavenworth,st,94109,8246000,-122.41558123,37.78909538,"{'type': 'Point', 'coordinates': [-122.415581229, 37.789095382]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
945,Foul Play,1978,fort mason (golden gate national recreation area),fort mason (golden gate national recreation area),1521 b golden gate ave,2689.0,472328,1521 b golden gate ave,1521,golden gate,ave,94115,6273000,-122.43627915,37.77885305,"{'type': 'Point', 'coordinates': [-122.436279145, 37.778853053]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Western Addition,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,
946,Americana,2015,laguna honda hospital; 375 laguna honda blvd.,laguna honda hospital; 375 laguna honda blvd.,375 laguna honda blvd,4135.0,449510,375 laguna honda blvd,375,laguna honda,blvd,94131,7990101,-122.45697402,37.74772932,"{'type': 'Point', 'coordinates': [-122.456974017, 37.747729326]}",SUPERVISORIAL DISTRICT 7,07,SEVEN,Twin Peaks,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
947,Chance- Season 1 ep103,2016,"san francisco art institute, 800 chestnut","san francisco art institute, 800 chestnut",800 francisco st,3535.0,276083,800 francisco st,800,francisco,st,94109,5767000,-122.4185731,37.80427567,"{'type': 'Point', 'coordinates': [-122.418573101, 37.804275674]}",SUPERVISORIAL DISTRICT 3,03,THREE,Russian Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
948,Looking Season 2 ep 207,2015,"sparky's diner, 242 church street","sparky's diner, 242 church street",242 church st,3379.0,460193,242 church st,242,church,st,94114,4010000,-122.42914133,37.76662772,"{'type': 'Point', 'coordinates': [-122.429141324, 37.766627725]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
949,The Phone/Jexi,2019,3200 16th st at guerrero,3200 16th st at guerrero,1007 a guerrero st,422.0,441372,1007 a guerrero st,1007,guerrero,st,94110,6584101,-122.42292999,37.75494088,"{'type': 'Point', 'coordinates': [-122.422929991, 37.754940878]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
950,Time After Time,1979,golden gate bridge,golden gate bridge,35 golden gate ave,4814.0,504218,35 golden gate ave,35,golden gate,ave,94102,6259000,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
951,Ballers Season 3,2017,"fairmont hotel (950 mason street, nob hill)","fairmont hotel (950 mason street, nob hill)",950 mason st,1075.0,280508,950 mason st,950,mason,st,94108,8812000,-122.41067191,37.79217524,"{'type': 'Point', 'coordinates': [-122.410671906, 37.792175242]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
952,Hulk,2003,treasure island,treasure island,39 treasure island rd,4268.0,505515,39 treasure island rd,39,treasure island,rd,94130,14305000,-122.37092258,37.81721955,"{'type': 'Point', 'coordinates': [-122.370922579, 37.817219555]}",SUPERVISORIAL DISTRICT 6,06,SIX,Treasure Island,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
953,Looking Season 2 ep 209,2015,"mission arts center, 2450 harrison street","mission arts center, 2450 harrison street",2645 a harrison st,4165.0,475092,2645 a harrison st,2645,harrison,st,94110,6755000,-122.41181699,37.75512365,"{'type': 'Point', 'coordinates': [-122.411816989, 37.755123651]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
954,Chef Dynasty: House of Fang,2022,"house of nanking, 919 kearny","house of nanking, 919 kearny",919 kearny st,3860.0,451835,919 kearny st,919,kearny,st,94133,7761000,-122.40538391,37.7964388,"{'type': 'Point', 'coordinates': [-122.40538391, 37.796438797]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
955,Pushing Dead,2016,"infield batting cages, 1888 clement street","infield batting cages, 1888 clement street",1888 clement st,3148.0,479422,1888 clement st,1888,clement,st,94121,4169000,-122.47925264,37.78240346,"{'type': 'Point', 'coordinates': [-122.479252643, 37.782403458]}",SUPERVISORIAL DISTRICT 1,01,ONE,Outer Richmond,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
956,Knife Fight,2013,city hall,city hall,Empty,,,,,,,,,,,,,,,,,,,
957,A Smile Like Yours,1997,hills brothers plaza (embarcadero at harrison street),hills brothers plaza (embarcadero at harrison street),0 the embarcadero,21.0,481023,0 the embarcadero,0,embarcadero,,94105,12549201,-122.38636372,37.78812404,"{'type': 'Point', 'coordinates': [-122.386363719, 37.78812404]}",SUPERVISORIAL DISTRICT 6,06,SIX,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
958,DEVS,2020,bernal heights park,bernal heights park,10 bernal heights blvd,1439.0,456072,10 bernal heights blvd,10,bernal heights,blvd,94110,2941000,-122.41516146,37.74306147,"{'type': 'Point', 'coordinates': [-122.415161463, 37.743061471]}",SUPERVISORIAL DISTRICT 9,09,NINE,Bernal Heights,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
959,The Matrix Resurrections,2021,465 california,465 california,465 california st,3693.0,280787,465 california st,465,california,st,94104,3529000,-122.40212925,37.79255636,"{'type': 'Point', 'coordinates': [-122.402129247, 37.792556365]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
960,Beautiful Boy,2018,"olympic flame café, 555 geary st","olympic flame café, 555 geary st",555 geary st,2944.0,452020,555 geary st,555,geary,st,94102,6113000,-122.41244179,37.78664093,"{'type': 'Point', 'coordinates': [-122.41244179, 37.786640934]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
961,The Last Thing He Told Me,2023,2698 pacific avenue,2698 pacific avenue,2698 pacific ave,1001.0,285754,2698 pacific ave,2698,pacific,ave,94115,10157000,-122.43948342,37.79300264,"{'type': 'Point', 'coordinates': [-122.439483417, 37.79300264]}",SUPERVISORIAL DISTRICT 2,02,TWO,Pacific Heights,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
962,Looking Season 2 ep 210,2015,67 deming street,67 deming street,67 deming st,4475.0,497560,67 deming st,67,deming,st,94114,4713000,-122.44576362,37.76033976,"{'type': 'Point', 'coordinates': [-122.445763615, 37.760339757]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,,
963,Invasion of the Body Snatchers,1978,32 napier lane,32 napier lane,32 napier ln,1229.0,276912,32 napier ln,32,napier,ln,94133,9486000,-122.40385182,37.80260228,"{'type': 'Point', 'coordinates': [-122.403851815, 37.802602279]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
964,When a Man Loves a Woman,1994,"international studies academy (993 vermont street, potrero hill)","international studies academy (993 vermont street, potrero hill)",299 vermont st,1055.0,477627,299 vermont st,299,vermont,st,94103,13210000,-122.40445874,37.76609763,"{'type': 'Point', 'coordinates': [-122.404458736, 37.766097631]}",SUPERVISORIAL DISTRICT 6,06,SIX,Mission Bay,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
965,"Murder in the First, Season 3",2016,2633 vallejo street,2633 vallejo street,633 vallejo st,3733.0,457972,633 vallejo st,633,vallejo,st,94133,13094000,-122.40826284,37.79853657,"{'type': 'Point', 'coordinates': [-122.408262836, 37.798536574]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
966,Sense8,2015,corbett st.,corbett st.,1 corbett ave,4153.0,343328,1 corbett ave,1,corbett,ave,94114,4377000,-122.43966828,37.7619469,"{'type': 'Point', 'coordinates': [-122.439668281, 37.761946905]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
967,Dirty Harry,1971,"mt. davidson cross, mt. davidson","mt. davidson cross, mt. davidson",1401 davidson ave,1995.0,374499,1401 davidson ave,1401,davidson,ave,94124,4613000,-122.388231,37.74349462,"{'type': 'Point', 'coordinates': [-122.388231001, 37.743494618]}",SUPERVISORIAL DISTRICT 10,10,TEN,Bayview Hunters Point,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
968,"Murder in the First, Season 3",2016,harriet alley,harriet alley,19 a harriet st,3684.0,365456,19 a harriet st,19,harriet,st,94103,6699000,-122.40716701,37.7791323,"{'type': 'Point', 'coordinates': [-122.407167006, 37.779132297]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,
969,The Wedding Planner,2001,city hall,city hall,Empty,,,,,,,,,,,,,,,,,,,
970,Chance- Season 1 ep110,2016,san francisco general hospital,san francisco general hospital,2 francisco st,1505.0,275975,2 francisco st,2,francisco,st,94111,5754000,-122.40511883,37.80597054,"{'type': 'Point', 'coordinates': [-122.40511883, 37.805970537]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
971,Dirty Harry,1971,"marina green, marina district","marina green, marina district",1 marina green dr,4343.0,491155,1 marina green dr,1,marina green,dr,94123,8710000,-122.43785802,37.80726703,"{'type': 'Point', 'coordinates': [-122.437858019, 37.807267036]}",SUPERVISORIAL DISTRICT 2,02,TWO,Marina,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
972,The Game,1997,bay bridge,bay bridge,55 ridge ln,3785.0,413406,55 ridge ln,55,ridge,ln,94112,11020000,-122.44953724,37.71795646,"{'type': 'Point', 'coordinates': [-122.449537243, 37.717956463]}",SUPERVISORIAL DISTRICT 11,11,ELEVEN,Oceanview/Merced/Ingleside,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
973,Romeo Must Die,2000,chinatown,chinatown,1 ina ct,4271.0,388980,1 ina ct,1,ina,ct,94112,7182000,-122.42432421,37.72377167,"{'type': 'Point', 'coordinates': [-122.424324209, 37.72377167]}",SUPERVISORIAL DISTRICT 11,11,ELEVEN,Excelsior,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
974,The Right Stuff,1983,financial district,financial district,1 ina ct,4271.0,388980,1 ina ct,1,ina,ct,94112,7182000,-122.42432421,37.72377167,"{'type': 'Point', 'coordinates': [-122.424324209, 37.72377167]}",SUPERVISORIAL DISTRICT 11,11,ELEVEN,Excelsior,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
975,The Princess Diaries,2001,fisherman's wharf,fisherman's wharf,12 sherman st,2722.0,365900,12 sherman st,12,sherman,st,94103,11803000,-122.4068039,37.7770094,"{'type': 'Point', 'coordinates': [-122.406803895, 37.7770094]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
976,The Dead Pool,1988,22nd & wisconsin streets (potrero hill),22nd & wisconsin streets (potrero hill),522 wisconsin st,2453.0,367917,522 wisconsin st,522,wisconsin,st,94107,13694000,-122.39944121,37.76079914,"{'type': 'Point', 'coordinates': [-122.399441207, 37.760799145]}",SUPERVISORIAL DISTRICT 10,10,TEN,Potrero Hill,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
977,Super Pumped: The Battle for Uber,2022,main street between harrison and howard,main street between harrison and howard,3037 b harrison st,3243.0,505707,3037 b harrison st,3037,harrison,st,94110,6759002,-122.41106808,37.748877,"{'type': 'Point', 'coordinates': [-122.411068084, 37.748876999]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,B,
978,Patty Hearst,1988,"postcard row (alamo square, hayes valley)","postcard row (alamo square, hayes valley)",30 a valley st,4803.0,503565,30 a valley st,30,valley,st,94110,13125000,-122.42301293,37.7449671,"{'type': 'Point', 'coordinates': [-122.423012928, 37.744967103]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Noe Valley,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,
979,Serendipity,2001,Empty,Empty,Empty,,,,,,,,,,,,,,,,,,,
980,"Murder in the First, Season 3",2016,civic center plaza,civic center plaza,2 plaza st,1690.0,347719,2 plaza st,2,plaza,st,94116,10508000,-122.46000162,37.749017,"{'type': 'Point', 'coordinates': [-122.460001623, 37.749016998]}",SUPERVISORIAL DISTRICT 7,07,SEVEN,West of Twin Peaks,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
981,The Princess Diaries,2001,broadway tunnel (broadway between powell and larkin),broadway tunnel (broadway between powell and larkin),490 a broadway,2366.0,471665,490 a broadway,490,broadway,,94133,3150000,-122.40518929,37.7981844,"{'type': 'Point', 'coordinates': [-122.405189292, 37.798184401]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
